ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Furnished_Status_encoded,Public_Transport_Accessibility_encoded,Parking_Space_encoded,Security_encoded,Availability_Status_encoded
4309,Karnataka,Bangalore,Locality_30,Apartment,2,4151,343.67,0.08,2013,Unfurnished,2,26,12,4,3,Low,No,Yes,"Pool, Playground, Gym, Garden",West,Builder,Ready_to_Move,0.0,0.0,0,1,0
4366,Karnataka,Bangalore,Locality_307,Apartment,3,4350,68.25,0.02,2002,Semi-furnished,13,9,23,8,7,Medium,Yes,Yes,"Playground, Garden, Pool, Clubhouse, Gym",West,Builder,Ready_to_Move,0.5,0.5,1,1,0
4380,Karnataka,Bangalore,Locality_219,Independent House,3,794,274.37,0.35,2004,Unfurnished,0,23,21,8,10,Low,No,No,"Garden, Clubhouse, Gym, Playground, Pool",East,Owner,Under_Construction,0.0,0.0,0,0,1
4401,Karnataka,Bangalore,Locality_414,Independent House,3,3373,38.8,0.01,1991,Semi-furnished,10,18,34,1,9,Medium,No,No,"Pool, Clubhouse, Gym, Playground, Garden",South,Owner,Under_Construction,0.5,0.5,0,0,1
4491,Karnataka,Bangalore,Locality_165,Apartment,3,558,11.47,0.02,2008,Unfurnished,25,6,17,4,1,Medium,Yes,No,"Playground, Garden, Clubhouse, Pool",South,Owner,Under_Construction,0.0,0.5,1,0,1
4515,Karnataka,Bangalore,Locality_342,Apartment,2,560,486.75,0.87,2003,Unfurnished,6,9,22,5,7,Medium,Yes,Yes,"Garden, Clubhouse, Pool, Gym, Playground",South,Owner,Under_Construction,0.0,0.5,1,1,1
4521,Karnataka,Bangalore,Locality_342,Independent House,5,2590,21.53,0.01,2016,Semi-furnished,20,26,9,3,6,Medium,Yes,No,"Clubhouse, Garden, Gym, Pool, Playground",West,Broker,Ready_to_Move,0.5,0.5,1,0,0
4789,Karnataka,Bangalore,Locality_14,Villa,2,4194,190.12,0.05,2021,Semi-furnished,18,11,4,6,4,High,Yes,Yes,Playground,East,Builder,Under_Construction,0.5,1.0,1,1,1
4839,Karnataka,Bangalore,Locality_142,Independent House,3,4185,38.43,0.01,1991,Furnished,9,16,34,2,10,Medium,Yes,No,Playground,South,Broker,Ready_to_Move,1.0,0.5,1,0,0
4894,Karnataka,Bangalore,Locality_52,Independent House,3,4199,279.99,0.07,2002,Unfurnished,17,5,23,9,1,Low,Yes,No,"Gym, Playground, Pool",South,Builder,Under_Construction,0.0,0.0,1,0,1
4967,Karnataka,Bangalore,Locality_52,Independent House,1,2687,317.29,0.12,2022,Semi-furnished,8,22,3,3,9,Medium,Yes,No,"Playground, Garden, Pool",South,Broker,Ready_to_Move,0.5,0.5,1,0,0
5041,Karnataka,Bangalore,Locality_251,Apartment,2,2848,73.58,0.03,2000,Unfurnished,7,15,25,10,9,Medium,Yes,No,Playground,West,Builder,Under_Construction,0.0,0.5,1,0,1
5073,Karnataka,Bangalore,Locality_303,Apartment,3,4124,419.25,0.1,2014,Unfurnished,8,20,11,9,2,High,No,No,"Clubhouse, Gym, Garden",East,Owner,Ready_to_Move,0.0,1.0,0,0,0
5202,Karnataka,Bangalore,Locality_67,Villa,5,4662,403.53,0.09,2010,Semi-furnished,14,14,15,10,8,High,Yes,Yes,"Clubhouse, Garden, Playground",South,Builder,Under_Construction,0.5,1.0,1,1,1
5463,Karnataka,Bangalore,Locality_377,Villa,5,3594,36.38,0.01,2011,Semi-furnished,12,20,14,10,8,High,No,Yes,"Clubhouse, Pool, Playground, Gym",West,Broker,Under_Construction,0.5,1.0,0,1,1
5485,Karnataka,Bangalore,Locality_10,Apartment,4,4067,273.5,0.07,1996,Furnished,19,16,29,2,4,Medium,Yes,Yes,"Pool, Garden, Clubhouse, Playground, Gym",South,Owner,Under_Construction,1.0,0.5,1,1,1
5505,Karnataka,Bangalore,Locality_201,Apartment,1,3844,209.52,0.05,1990,Unfurnished,11,16,35,4,5,Medium,No,No,Clubhouse,North,Builder,Under_Construction,0.0,0.5,0,0,1
5539,Karnataka,Bangalore,Locality_331,Villa,4,4811,323.23,0.07,1995,Furnished,12,7,30,5,4,Medium,Yes,Yes,"Gym, Garden, Playground",North,Builder,Under_Construction,1.0,0.5,1,1,1
5628,Karnataka,Bangalore,Locality_115,Apartment,1,4269,247.86,0.06,1994,Unfurnished,23,7,31,6,8,Low,No,Yes,"Gym, Clubhouse",East,Owner,Ready_to_Move,0.0,0.0,0,1,0
5634,Karnataka,Bangalore,Locality_77,Villa,5,1627,423.38,0.26,2020,Furnished,24,14,5,8,9,Low,No,Yes,"Gym, Playground",North,Owner,Ready_to_Move,1.0,0.0,0,1,0
5642,Karnataka,Bangalore,Locality_146,Villa,5,692,277.91,0.4,2002,Semi-furnished,12,8,23,9,2,High,No,No,"Pool, Garden",South,Builder,Ready_to_Move,0.5,1.0,0,0,0
5652,Karnataka,Bangalore,Locality_395,Apartment,2,862,485.32,0.56,2020,Unfurnished,29,11,5,3,3,Low,No,Yes,"Gym, Pool, Garden",East,Builder,Under_Construction,0.0,0.0,0,1,1
5657,Karnataka,Bangalore,Locality_373,Independent House,2,2633,236.21,0.09,1997,Semi-furnished,26,18,28,10,8,High,Yes,Yes,"Gym, Garden",East,Builder,Under_Construction,0.5,1.0,1,1,1
5661,Karnataka,Bangalore,Locality_304,Independent House,5,2934,45.75,0.02,2018,Semi-furnished,26,11,7,7,9,Medium,No,Yes,"Gym, Pool, Playground, Garden",East,Broker,Under_Construction,0.5,0.5,0,1,1
5739,Karnataka,Bangalore,Locality_399,Apartment,4,640,228.42,0.36,2021,Unfurnished,10,8,4,9,3,Medium,Yes,No,Garden,East,Owner,Ready_to_Move,0.0,0.5,1,0,0
5779,Karnataka,Bangalore,Locality_209,Apartment,2,1866,116.21,0.06,2013,Semi-furnished,0,18,12,2,5,Low,No,Yes,"Playground, Clubhouse",North,Broker,Under_Construction,0.5,0.0,0,1,1
5897,Karnataka,Bangalore,Locality_213,Apartment,1,1571,321.93,0.2,2020,Unfurnished,16,26,5,5,2,High,Yes,No,"Gym, Playground, Pool",East,Builder,Ready_to_Move,0.0,1.0,1,0,0
5939,Karnataka,Bangalore,Locality_100,Villa,2,2940,203.64,0.07,2007,Semi-furnished,16,12,18,5,9,Medium,Yes,No,"Clubhouse, Gym, Pool",South,Owner,Under_Construction,0.5,0.5,1,0,1
6055,Karnataka,Bangalore,Locality_59,Villa,1,3421,334.61,0.1,2007,Unfurnished,1,18,18,8,1,Low,No,Yes,"Gym, Garden, Pool, Playground",North,Owner,Ready_to_Move,0.0,0.0,0,1,0
6065,Karnataka,Bangalore,Locality_118,Villa,3,1770,219.71,0.12,2014,Semi-furnished,10,16,11,8,1,Low,No,Yes,"Playground, Garden",East,Broker,Under_Construction,0.5,0.0,0,1,1
6121,Karnataka,Bangalore,Locality_487,Independent House,3,3551,168.05,0.05,2023,Furnished,21,14,2,10,10,Medium,No,No,Garden,East,Owner,Under_Construction,1.0,0.5,0,0,1
6129,Karnataka,Bangalore,Locality_30,Villa,1,3771,157.41,0.04,2004,Furnished,23,14,21,1,8,Low,Yes,Yes,Playground,East,Builder,Ready_to_Move,1.0,0.0,1,1,0
6167,Karnataka,Bangalore,Locality_178,Villa,3,1582,207.79,0.13,1993,Semi-furnished,29,1,32,8,6,High,Yes,Yes,"Gym, Garden, Pool, Playground",West,Broker,Under_Construction,0.5,1.0,1,1,1
6170,Karnataka,Bangalore,Locality_440,Independent House,5,1520,366.45,0.24,2001,Unfurnished,13,22,24,10,9,Low,Yes,No,"Pool, Playground, Garden",West,Builder,Ready_to_Move,0.0,0.0,1,0,0
6194,Karnataka,Bangalore,Locality_97,Villa,5,3627,342.24,0.09,2010,Unfurnished,10,25,15,1,4,Medium,No,Yes,"Gym, Playground, Clubhouse",North,Builder,Under_Construction,0.0,0.5,0,1,1
6253,Karnataka,Bangalore,Locality_118,Independent House,4,1772,406.18,0.23,2016,Furnished,2,19,9,8,6,High,No,Yes,"Clubhouse, Playground, Garden",West,Owner,Ready_to_Move,1.0,1.0,0,1,0
6282,Karnataka,Bangalore,Locality_279,Apartment,3,1298,248.67,0.19,2002,Furnished,7,20,23,3,4,Low,No,Yes,"Playground, Gym, Garden",West,Owner,Ready_to_Move,1.0,0.0,0,1,0
6291,Karnataka,Bangalore,Locality_418,Villa,4,3325,134.37,0.04,2013,Semi-furnished,2,14,12,1,3,Medium,No,No,"Pool, Playground, Clubhouse",East,Builder,Under_Construction,0.5,0.5,0,0,1
6319,Karnataka,Bangalore,Locality_124,Independent House,4,1950,495.01,0.25,1994,Unfurnished,4,9,31,6,5,High,Yes,Yes,"Playground, Pool, Garden",North,Builder,Ready_to_Move,0.0,1.0,1,1,0
6366,Karnataka,Bangalore,Locality_5,Independent House,5,2734,262.22,0.1,1993,Furnished,8,29,32,10,6,High,No,Yes,Pool,East,Broker,Under_Construction,1.0,1.0,0,1,1
6410,Karnataka,Bangalore,Locality_293,Independent House,5,3061,448.65,0.15,2019,Unfurnished,16,10,6,2,1,Medium,Yes,Yes,"Clubhouse, Playground, Pool",North,Builder,Under_Construction,0.0,0.5,1,1,1
6414,Karnataka,Bangalore,Locality_447,Villa,1,3106,186.94,0.06,2003,Furnished,30,28,22,6,1,Low,No,No,Clubhouse,North,Owner,Under_Construction,1.0,0.0,0,0,1
6519,Karnataka,Bangalore,Locality_374,Independent House,2,4158,66.93,0.02,2022,Semi-furnished,0,30,3,7,2,High,Yes,No,"Gym, Clubhouse, Garden",East,Broker,Under_Construction,0.5,1.0,1,0,1
6550,Karnataka,Bangalore,Locality_354,Independent House,4,4377,375.85,0.09,2014,Unfurnished,20,13,11,2,10,High,No,No,"Pool, Gym, Garden, Playground",North,Builder,Ready_to_Move,0.0,1.0,0,0,0
6619,Karnataka,Bangalore,Locality_112,Villa,2,3621,172.2,0.05,2007,Unfurnished,7,10,18,10,8,Low,Yes,Yes,"Playground, Clubhouse, Gym, Garden",North,Builder,Under_Construction,0.0,0.0,1,1,1
6669,Karnataka,Bangalore,Locality_82,Apartment,5,1735,104.52,0.06,1997,Semi-furnished,26,20,28,1,6,Low,No,Yes,"Gym, Garden",South,Owner,Under_Construction,0.5,0.0,0,1,1
6715,Karnataka,Bangalore,Locality_343,Independent House,4,3444,19.55,0.01,1991,Unfurnished,27,9,34,5,1,Medium,Yes,No,"Playground, Garden, Gym",West,Owner,Ready_to_Move,0.0,0.5,1,0,0
6740,Karnataka,Bangalore,Locality_79,Villa,3,2042,371.33,0.18,2006,Furnished,12,2,19,8,9,Low,No,Yes,Pool,North,Builder,Ready_to_Move,1.0,0.0,0,1,0
6807,Karnataka,Bangalore,Locality_261,Independent House,5,4726,220.65,0.05,2013,Semi-furnished,2,14,12,1,8,High,Yes,No,"Gym, Garden, Playground, Clubhouse",East,Owner,Ready_to_Move,0.5,1.0,1,0,0
6843,Karnataka,Bangalore,Locality_324,Villa,3,3722,268.23,0.07,2009,Furnished,26,2,16,9,3,Low,No,No,"Playground, Garden, Clubhouse, Gym, Pool",East,Owner,Ready_to_Move,1.0,0.0,0,0,0
6869,Karnataka,Bangalore,Locality_365,Villa,1,4045,273.94,0.07,2009,Furnished,29,19,16,4,3,Low,No,Yes,"Gym, Playground, Clubhouse, Garden",South,Builder,Ready_to_Move,1.0,0.0,0,1,0
6906,Karnataka,Bangalore,Locality_323,Villa,5,3687,148.14,0.04,2013,Semi-furnished,5,27,12,7,9,Medium,No,Yes,"Gym, Garden, Pool, Playground",East,Broker,Under_Construction,0.5,0.5,0,1,1
6921,Karnataka,Bangalore,Locality_328,Villa,2,3298,331.05,0.1,2016,Semi-furnished,19,1,9,10,8,Low,No,Yes,"Pool, Playground, Garden, Clubhouse, Gym",West,Owner,Under_Construction,0.5,0.0,0,1,1
6974,Karnataka,Bangalore,Locality_203,Apartment,1,4869,56.8,0.01,2003,Unfurnished,4,5,22,1,3,Low,No,Yes,Clubhouse,East,Broker,Under_Construction,0.0,0.0,0,1,1
7034,Karnataka,Bangalore,Locality_390,Independent House,2,1481,444.12,0.3,1991,Furnished,1,20,34,9,1,Medium,No,Yes,"Pool, Playground, Garden",South,Broker,Under_Construction,1.0,0.5,0,1,1
7045,Karnataka,Bangalore,Locality_39,Independent House,4,2726,155.13,0.06,2004,Furnished,7,3,21,5,4,Low,No,No,"Gym, Clubhouse, Pool",East,Broker,Ready_to_Move,1.0,0.0,0,0,0
